property_name,town,neighborhood,category,room_or_dish,price_fcfa,breakfast,amenities_tags,phone_number,confidence,source_note
Palais des Rois Bell (La Pagode),Douala,Bonanjo,Heritage Monument,Visit (by appointment via royal family),~3000 (suggested tip; not a fixed fee),N/A,"Colonial architecture,Royal residence,Guided history",,VERIFIED_NOTE,"No fixed public fee/phone - visit arranged via royal family, consistent across independent sources"
Musée Maritime de Douala,Douala,Bonanjo (Rue de l'hôpital),Maritime Museum,Entry (adult resident/non-resident),3500,N/A,"Maritime history,Simulator,Storm room",+237 233 42 21 66,VERIFIED_PHONE,"Fully verified via official site museemaritime.cm - also: students 2500, secondary school 2000, children/primary 1500, camera fee 1000"
Artisanal Village & Flower Market,Douala,Bonanjo / Blvd Liberté,Art & Crafts Market,Purchases (negotiable),Negotiable,N/A,"Bamileke masks,Bronze statues,Ndop textiles",,VERIFIED_NOTE,"Open-air market - no formal contact needed/found, as dossier notes"
Douala-Edéa National Park,Edéa / Sanaga River area,N/A,Mangrove Ecotourism,Boat charter day-trip,25000-45000,N/A,"Mangroves,Manatees,Sea turtles,Chimpanzees",,UNCONFIRMED_ALL,Reclassified as National Park in 2018 - no public booking phone found; book via private tour agencies e.g. Cameroon Travel and Tours
Krystal Palace Douala,Douala,Akwa (Boulevard de la Liberté),5-Star Luxury Hotel,Room (unconfirmed rate),120000-220000,N/A,"Pool,Spa,Skybar,Casino,Conference rooms",+237 233 50 68 00,VERIFIED_PHONE,"Phone verified via official site krystalpalacedouala.com + multiple directories; secondary phones +237 696 30 39 80 / +237 693 52 27 94; price not published, dossier estimate kept"
Pullman Douala Rabingha,Douala,City Center,5-Star Business Hotel,Chambre / Suite,94000 / 157000,N/A,"Pool,Casino,Conference rooms,River view",+237 233 43 50 00,VERIFIED_PHONE,Phone verified via Accor/casino directory listing; price from Petit Futé
L'Ovalie & La Fourchette,Douala,Bonanjo,Fine French Dining,Per person,15000-30000,N/A,"French cuisine,Wine cellar,Steaks",,UNCONFIRMED_ALL,No findable official contact for either restaurant - dossier estimate kept
Marché Sandaga & Deido Soya,Douala,Deido / Sandaga,Night Street Food,Per person,1000-3000,N/A,"Soya,Peppered chicken,Grilled fish,Miondo",,UNCONFIRMED_ALL,Informal street vendors - dossier estimate kept
Musée National de Yaoundé,Yaoundé,Downtown (near Minrex),National Museum,Entry (resident/non-resident),2000 / 5000,N/A,"Ethnographic collections,Presidential history",+237 222 23 85 99,VERIFIED_PHONE,"Official site cameroon-nationalmuseum.cm for phone; pricing cross-confirmed via Petit Futé - NOTE: some visitor reports cite up to 10000 FCFA for foreigners, worth a live call to confirm current rate; secondary phone +237 697 35 94 87"
Méfou Primate Sanctuary,Mfou (45 min south of Yaoundé),N/A,Wildlife Sanctuary,Entry (foreigner adult / local adult),7500-10000 / 1000,N/A,"Chimpanzees,Gorillas,Mandrills,Guided walks",+237 650 79 07 47,VERIFIED_PHONE,"Official Ape Action Africa contact via apeactionafrica.org / Facebook page; child rates: foreigner 2000, local 500"
Monument de la Réunification,Yaoundé,Ngoa-Ekélé,Historic Monument,Grounds access,0 (exterior) / ~1000 (grounds),N/A,"Reunification history,Photo spot",,UNCONFIRMED_PRICE,No phone found - public monument
Mvog-Betsi Zoo & Botanical Garden,Yaoundé,Mvog-Betsi district,Urban Zoo,Entry,1500-2500,N/A,"Reptiles,Drill monkeys,Birds of prey",,UNCONFIRMED_ALL,No official site found
Mont Fébé & Golf Club,Yaoundé,Mont Fébé heights,Scenic Vantage/Golf,Golf fee (variable),Free views; golf fee not published,N/A,"Panoramic view,18-hole golf course",,UNCONFIRMED_ALL,Golf club pricing not published online
Hilton Yaoundé,Yaoundé,Central Business District,5-Star Luxury Hotel,Room (from),151000-174000,N/A,"Pool,Rooftop bar,Tennis,Sushi restaurant",+237 650 56 55 96,VERIFIED_PHONE,Official Hilton chain listing (hilton.com); price ~$252-290/night converted
Star Land Hotel Bastos,Yaoundé,Bastos (Rue Ambassade de Russie),Boutique Luxury Hotel,Room (from),96000-112000,Buffet available for a fee,"Pool,Spa,Conference rooms,3 restaurants",+237 673 44 49 49,VERIFIED_PHONE,Official site starlandhotel.com; secondary phone +237 671 00 08 88; price ~$160-186/night converted
Chez Wou & La Salsa,Yaoundé,Bastos,Fine Dining,Per person,12000-25000,N/A,"Asian dining,Garden dining,Cocktails",,UNCONFIRMED_ALL,No findable official contact for either restaurant - dossier estimate kept
Palais Royal de Foumban & Museum,Foumban,Chefferie Bamoun,Royal Palace/UNESCO,Museum entry,3000-5000,N/A,"Bamoun history,Shümom script,Royal artifacts",+237 698 53 39 81,VERIFIED_PHONE,"Phone verified via Trip.com listing; exact price not officially published, dossier estimate kept"
Rue des Artisans (Artisan Street),Foumban,Palace gate,Artisanal Guild,Craft purchases,0 (free entry) / negotiable purchases,N/A,"Bronze casting,Wood carving,Pottery",,VERIFIED_NOTE,"Free public street - no formal contact needed, confirmed"
Chutes d'Ekom Nkam,Melong/Nkongsamba area,N/A,Waterfall/Jungle,Entry,3500,N/A,"80m waterfall,Tarzan film site,Hiking",,VERIFIED_PRICE,"Price confirmed via Generation Voyage; no direct site phone - book via tour agencies e.g. CamerTour, Alfa Travel"
Chefferie de Bandjoun,Bandjoun (near Bafoussam),N/A,Ancestral Palace/Museum,Museum entry (adult/child),2000 / 500,N/A,"Bamileke architecture,Royal relics,Ndop cloth",,VERIFIED_PRICE,"Price confirmed independently; camera fee 1000, video 3000; no public phone found - visits arranged on-site"
Domaine du Pétpenoun,Kouoptamo (Lake Petpenoun),N/A,Eco-Resort/Lake,Room (non-member),40000-75000,6000 (extra),"Lake,Pool,Golf,Water skiing,Boat rides",+237 699 92 01 98,VERIFIED_PHONE,Official site petpenoun.com; secondary phone +237 677 97 72 99; lunch/dinner 17000 extra; dossier's 55000-110000 estimate runs slightly higher than confirmed range
Hôtel Zingana,Bafoussam,City Center,Cultural Boutique Hotel,Room (from),48000,Buffet included,"Grassfields art,Rooftop restaurant,Modern amenities",+237 233 44 50 52,VERIFIED_PHONE,Fully verified via official site hotelzingana.com; secondary phone +237 698 17 96 38; price ~$81/night converted
West Region Gastronomy Spots,Bafoussam & Foumban,N/A,Traditional Dining,Per meal,2000-5000,N/A,"Taro sauce jaune,Koki beans,Nkui",,UNCONFIRMED_ALL,Informal regional dining - dossier estimate kept
