id,name,city,address_area,category,total_rooms,indicative_starting_tariff,notes,source_id,verification_status
HOT-015,HOTEL DES DEPUTES,Yaoundé,QUARTIER ADMINISTRATIF,3*,148,75 EUR,Indicative starting tariff published by MINTOUL for CM14 2026; verify directly before booking.,SRC-016,current-source-verified
HOT-016,AURELIA PALACE,Yaoundé,BASTOS,3*,21,75 EUR,Indicative starting tariff published by MINTOUL for CM14 2026; verify directly before booking.,SRC-016,current-source-verified
HOT-017,HOTEL FELICIA,Yaoundé,CORON,3*,60,75 EUR,Indicative starting tariff published by MINTOUL for CM14 2026; verify directly before booking.,SRC-016,current-source-verified
HOT-018,DAJOLL HOTEL,Mbankomo,Mbankomo,3*,42,75 EUR,Indicative starting tariff published by MINTOUL for CM14 2026; verify directly before booking.,SRC-016,current-source-verified
HOT-019,SAFYAD HOTEL,Yaoundé,ODZA,3*,51,65 EUR,Indicative starting tariff published by MINTOUL for CM14 2026; verify directly before booking.,SRC-016,current-source-verified
HOT-020,HOTEL LA COURONNE RW,Yaoundé,Bastos,3*,34,65 EUR,Indicative starting tariff published by MINTOUL for CM14 2026; verify directly before booking.,SRC-016,current-source-verified
HOT-021,UNITED HOTEL,Mbankomo,Mbankomo,3*,87,65 EUR,Indicative starting tariff published by MINTOUL for CM14 2026; verify directly before booking.,SRC-016,current-source-verified
HOT-022,NEW HAVEN HOTEL,Yaoundé,MELEN,3*,40,65 EUR,Indicative starting tariff published by MINTOUL for CM14 2026; verify directly before booking.,SRC-016,current-source-verified
HOT-023,HOTEL SAS LES GRACES,Yaoundé,NFANDENA II,3*,42,65 EUR,Indicative starting tariff published by MINTOUL for CM14 2026; verify directly before booking.,SRC-016,current-source-verified
HOT-024,RESIDENCE DE LA COURS DES NATIONS,Yaoundé,OLEMBE,3*,24,65 EUR,Indicative starting tariff published by MINTOUL for CM14 2026; verify directly before booking.,SRC-016,current-source-verified
HOT-025,HOTEL LA ROCHELLE,Yaoundé,MIMBOMAN I,3*,54,65 EUR,Indicative starting tariff published by MINTOUL for CM14 2026; verify directly before booking.,SRC-016,current-source-verified
HOT-026,CINCINNATI HOTEL,Nkolafamba,NKOLO à Nkolafamba,3*,30,65 EUR,Indicative starting tariff published by MINTOUL for CM14 2026; verify directly before booking.,SRC-016,current-source-verified
HOT-027,PALACIO HOTEL,Yaoundé,BASTOS,4*,48,125 EUR,Indicative starting tariff published by MINTOUL for CM14 2026; verify directly before booking.,SRC-016,current-source-verified
HOT-028,HOTEL SANTA LUCIA,Yaoundé,KONDENGUI,3*,34,65 EUR,Indicative starting tariff published by MINTOUL for CM14 2026; verify directly before booking.,SRC-016,current-source-verified
HOT-029,HOTEL APPLE GATE,Yaoundé,OLEMBE,3*,26,65 EUR,Indicative starting tariff published by MINTOUL for CM14 2026; verify directly before booking.,SRC-016,current-source-verified
HOT-030,COFE HOTEL,Yaoundé,OBILI,3*,38,65 EUR,Indicative starting tariff published by MINTOUL for CM14 2026; verify directly before booking.,SRC-016,current-source-verified
HOT-031,JADE HOTEL RESORT,Yaoundé,FEBE,3*,60,65 EUR,Indicative starting tariff published by MINTOUL for CM14 2026; verify directly before booking.,SRC-016,current-source-verified
HOT-032,DIAMANT HOTEL,Yaoundé,ELIG-ESSONO,3*,60,65 EUR,Indicative starting tariff published by MINTOUL for CM14 2026; verify directly before booking.,SRC-016,current-source-verified
